PWMFlankingScore,Label
-16030.428941430353,0
-17138.61165112032,0
-16841.483719790456,1
-16903.7048301345,0
-16220.520080917855,0
-15917.704596583713,0
-15785.971606219697,0
-15664.037183610511,0
-16498.573910695035,0
-16655.196471841184,0
-16140.10658489397,0
-17748.464388895307,0
-16283.203211442868,1
-15907.319725065134,0
-17948.608623845244,0
-16225.158630806613,0
-16868.295158577603,0
-17661.738191524633,0
-17302.235930745363,1
-16273.941458242776,0
-19366.908700449974,0
-17264.937507739764,1
-14644.70747377113,0
-16188.34889316288,0
-17727.595138507724,0
-14681.290383457115,1
-18722.635612914502,0
-16885.501977842672,0
-17026.11579577108,0
-16314.119802764148,0
-15810.66098110733,1
-15795.686291256732,0
-16840.41281506511,0
-15929.487906333228,0
-16876.285296292954,0
-16599.878117526827,0
-15695.23554758326,0
-14751.184688405749,1
-15759.453114102897,0
-15657.247136179321,0
-15446.86823782653,0
-16124.185560239137,0
-15773.305296703273,0
-14637.353447401212,0
-16428.04683463319,0
-16945.137939751075,0
-15312.535189338892,0
-18433.802304080513,0
-14383.980529994704,1
-15940.309589106782,0
-16667.276548525486,0
-16057.470287860786,0
-16693.55246882221,0
-15000.785003208443,0
-17468.479946029725,0
-15952.261018105897,1
-15216.190541046624,0
-16101.634954909914,0
-14982.466754951245,0
-14793.996050583926,0
-15404.647998090433,0
-14908.305109477691,0
-15176.813728668181,0
-16315.750123183494,0
-15478.783538571404,0
-15484.608178152124,0
-15443.220231692436,0
-15330.032878405136,0
-15634.335377944468,0
-15227.690425061028,0
-15341.668834868042,0
-17084.177030968687,0
-16711.4173199465,0
-16885.041720999947,0
-16971.855534080885,1
-17683.788662093757,0
-17491.205244236968,0
-15783.296255690615,0
-16678.092617763545,0
-17579.126452173517,0
-17929.796428725007,0
-17381.735574533235,0
-14547.681293405978,0
-15368.012970431686,1
-15615.232518966612,0
-16735.320054029784,0
-17512.739632829962,0
-18158.643849642765,0
-14452.94730910773,0
-16162.671111328109,0
-16463.996277468796,0
-15489.132771348428,1
-16255.672366933753,0
-15003.48797817066,0
-15664.75421169241,0
-16444.45000457928,0
-14614.962201125647,1
-15778.459601237446,0
-15830.418855690672,1
-15577.79172948581,1
-15214.257131193766,0
-15350.535406736424,0
-16159.812989790482,1
-15785.019025061396,0
-15534.96647518113,0
-15435.024814364424,0
-15934.593064430675,0
-14048.90785030513,0
-16732.055635952598,0
-17597.10243940889,0
-17456.323417738535,0
-16744.746348617406,1
-18337.0532707299,0
-17387.73304307454,0
-17039.889617370987,0
-15683.058572461774,0
-15849.830215333546,0
-16098.049171475084,0
-17562.14606178362,0
-15927.676881611247,0
-17672.185310028024,0
-16564.3367073438,0
-17228.460385429717,0
-17173.63302498335,0
-17481.658832097517,0
-14786.357386993508,0
-15650.781763660541,0
-16569.09360266594,0
-16292.285335234432,0
-15429.382566298227,0
-16222.586775561253,1
-16760.97272494014,0
-16256.431848813761,0
-15386.157620495727,0
-14965.438136786757,1
-17702.775391943575,0
-15777.00486732945,0
-17629.859024221674,1
-17221.529087918778,0
-16458.194392424582,0
-15715.608225571425,0
-18050.748588426744,0
-15573.286103847922,0
-16149.85385848145,0
-15200.446272640038,0
-17062.79462787102,1
-17591.3203474647,0
-17192.032814685117,0
-16423.680187497197,0
-15483.66741981721,0
-15427.123863939089,0
-14627.154375656453,0
-15723.103803350019,0
-14912.861274584,0
-14026.782468698892,1
-15223.717730359891,0
-13579.011828198394,1
-17818.496053823277,0
-15958.073237397322,0
-17673.794655145393,0
-15804.502393545155,1
-17704.48256017476,0
-17180.717133419505,0
-16595.95514797259,0
-16747.190071436456,0
-16566.311164235405,0
-17605.70355167527,0
-16487.108322568107,1
-17582.787312132907,0
-16871.958045199834,0
-16864.870485596937,1
-16146.498989727299,0
-16917.525251108873,0
-18410.67497132181,0
-16388.479742340813,0
-16702.506592913112,1
-17125.825022910627,0
-16174.225268565138,0
-15502.611929643625,0
-14800.888618326808,0
-14836.949038969191,0
-14209.427103652672,0
-14597.736306678973,0
-17000.062814060624,0
-15706.923112646631,0
-15898.85028936652,0
-17291.16782233687,0
-16044.474176036116,0
-15248.420773811335,0
-15849.621885891454,0
-15751.041362478289,0
-16926.03433779982,0
-15765.009850153807,0
-14844.980891225769,0
-15027.784558207473,0
-14079.190541620768,0
-14938.556594067784,0
-15547.898887211322,0
-15021.848598834502,0
-15921.911132650248,0
-14920.602175524593,0
-17455.768366596898,0
-18599.755362881522,1
-16592.200608191484,0
-17845.05398744819,0
-18572.017575260557,1
-17524.78018086449,0
-16920.428183713237,1
-17620.022829358415,1
-17082.522432622172,1
-17929.960994667093,1
-17588.616380624055,0
-18489.042710480415,0
-18164.876382219336,0
-16114.714077500726,1
-16827.90551567573,0
-17848.049292810094,0
-16090.134277469064,0
-16601.888099981472,1
-17035.63485660076,0
-18588.051663127782,0
-18292.73891234364,0
-15454.72864447109,0
-15436.062149960087,0
-17307.365988902005,0
-16480.142551483343,0
-17849.220910780467,0
-16432.444959174452,0
-17060.41472992561,1
-17104.507797148457,0
-15983.730061650771,0
